case,state,time_ms,field,min_value,max_value,unit,max_id,csv,figure
ep_5p0uj_recoil_5000ms,1,,resultant_displacement,0.000000000e+00,0.000000000e+00,mm,1,D:\cxh-daima\LS-DYNA-ablation\field_data\v44_lsprepost_real_field_extract\ep_5p0uj_recoil_5000ms\state_0001\node_displacement.csv,D:\cxh-daima\LS-DYNA-ablation\figures\v44_lsprepost_real_field_extract\ep_5p0uj_recoil_5000ms\state_0001_result_displacement_nm.png
ep_5p0uj_recoil_5000ms,1,,resultant_velocity,0.000000000e+00,4.992020625e+03,mm/ms,7049,,
ep_5p0uj_recoil_5000ms,1,,pressure_from_shell_stress,0.000000000e+00,0.000000000e+00,GPa,1,D:\cxh-daima\LS-DYNA-ablation\field_data\v44_lsprepost_real_field_extract\ep_5p0uj_recoil_5000ms\state_0001\shell_pressure.csv,D:\cxh-daima\LS-DYNA-ablation\figures\v44_lsprepost_real_field_extract\ep_5p0uj_recoil_5000ms\state_0001_pressure_GPa.png
ep_5p0uj_recoil_5000ms,50,,resultant_displacement,0.000000000e+00,3.641019800e-06,mm,329,D:\cxh-daima\LS-DYNA-ablation\field_data\v44_lsprepost_real_field_extract\ep_5p0uj_recoil_5000ms\state_0050\node_displacement.csv,D:\cxh-daima\LS-DYNA-ablation\figures\v44_lsprepost_real_field_extract\ep_5p0uj_recoil_5000ms\state_0050_result_displacement_nm.png
ep_5p0uj_recoil_5000ms,50,,resultant_velocity,0.000000000e+00,4.538111882e+01,mm/ms,4785,,
ep_5p0uj_recoil_5000ms,50,,pressure_from_shell_stress,-5.838340506e-01,4.945219709e-01,GPa,3921,D:\cxh-daima\LS-DYNA-ablation\field_data\v44_lsprepost_real_field_extract\ep_5p0uj_recoil_5000ms\state_0050\shell_pressure.csv,D:\cxh-daima\LS-DYNA-ablation\figures\v44_lsprepost_real_field_extract\ep_5p0uj_recoil_5000ms\state_0050_pressure_GPa.png
ep_5p0uj_recoil_5000ms,100,,resultant_displacement,0.000000000e+00,5.070954213e-06,mm,7480,D:\cxh-daima\LS-DYNA-ablation\field_data\v44_lsprepost_real_field_extract\ep_5p0uj_recoil_5000ms\state_0100\node_displacement.csv,D:\cxh-daima\LS-DYNA-ablation\figures\v44_lsprepost_real_field_extract\ep_5p0uj_recoil_5000ms\state_0100_result_displacement_nm.png
ep_5p0uj_recoil_5000ms,100,,resultant_velocity,0.000000000e+00,4.506436793e+01,mm/ms,4057,,
ep_5p0uj_recoil_5000ms,100,,pressure_from_shell_stress,-3.001445084e-01,5.210859176e-01,GPa,1208,D:\cxh-daima\LS-DYNA-ablation\field_data\v44_lsprepost_real_field_extract\ep_5p0uj_recoil_5000ms\state_0100\shell_pressure.csv,D:\cxh-daima\LS-DYNA-ablation\figures\v44_lsprepost_real_field_extract\ep_5p0uj_recoil_5000ms\state_0100_pressure_GPa.png
ep_5p0uj_recoil_5000ms,150,,resultant_displacement,0.000000000e+00,5.986306727e-06,mm,7480,D:\cxh-daima\LS-DYNA-ablation\field_data\v44_lsprepost_real_field_extract\ep_5p0uj_recoil_5000ms\state_0150\node_displacement.csv,D:\cxh-daima\LS-DYNA-ablation\figures\v44_lsprepost_real_field_extract\ep_5p0uj_recoil_5000ms\state_0150_result_displacement_nm.png
ep_5p0uj_recoil_5000ms,150,,resultant_velocity,0.000000000e+00,5.099482029e+01,mm/ms,6081,,
ep_5p0uj_recoil_5000ms,150,,pressure_from_shell_stress,-4.054813112e-01,3.839866102e-01,GPa,6882,D:\cxh-daima\LS-DYNA-ablation\field_data\v44_lsprepost_real_field_extract\ep_5p0uj_recoil_5000ms\state_0150\shell_pressure.csv,D:\cxh-daima\LS-DYNA-ablation\figures\v44_lsprepost_real_field_extract\ep_5p0uj_recoil_5000ms\state_0150_pressure_GPa.png
ep_5p0uj_recoil_5000ms,200,,resultant_displacement,0.000000000e+00,5.168836948e-06,mm,7481,D:\cxh-daima\LS-DYNA-ablation\field_data\v44_lsprepost_real_field_extract\ep_5p0uj_recoil_5000ms\state_0200\node_displacement.csv,D:\cxh-daima\LS-DYNA-ablation\figures\v44_lsprepost_real_field_extract\ep_5p0uj_recoil_5000ms\state_0200_result_displacement_nm.png
ep_5p0uj_recoil_5000ms,200,,resultant_velocity,0.000000000e+00,2.995880203e+01,mm/ms,4789,,
ep_5p0uj_recoil_5000ms,200,,pressure_from_shell_stress,-2.589671801e-01,8.135362358e-01,GPa,6881,D:\cxh-daima\LS-DYNA-ablation\field_data\v44_lsprepost_real_field_extract\ep_5p0uj_recoil_5000ms\state_0200\shell_pressure.csv,D:\cxh-daima\LS-DYNA-ablation\figures\v44_lsprepost_real_field_extract\ep_5p0uj_recoil_5000ms\state_0200_pressure_GPa.png
ep_5p0uj_recoil_5000ms,255,,resultant_displacement,0.000000000e+00,2.857231352e-06,mm,6889,D:\cxh-daima\LS-DYNA-ablation\field_data\v44_lsprepost_real_field_extract\ep_5p0uj_recoil_5000ms\state_0255\node_displacement.csv,D:\cxh-daima\LS-DYNA-ablation\figures\v44_lsprepost_real_field_extract\ep_5p0uj_recoil_5000ms\state_0255_result_displacement_nm.png
ep_5p0uj_recoil_5000ms,255,,resultant_velocity,0.000000000e+00,3.905710591e+01,mm/ms,6563,,
ep_5p0uj_recoil_5000ms,255,,pressure_from_shell_stress,-1.935765650e-01,2.186898399e-01,GPa,3361,D:\cxh-daima\LS-DYNA-ablation\field_data\v44_lsprepost_real_field_extract\ep_5p0uj_recoil_5000ms\state_0255\shell_pressure.csv,D:\cxh-daima\LS-DYNA-ablation\figures\v44_lsprepost_real_field_extract\ep_5p0uj_recoil_5000ms\state_0255_pressure_GPa.png
ep_5p0uj_recoil_5000ms,318,,resultant_displacement,0.000000000e+00,4.181622990e-06,mm,7481,D:\cxh-daima\LS-DYNA-ablation\field_data\v44_lsprepost_real_field_extract\ep_5p0uj_recoil_5000ms\state_0318\node_displacement.csv,D:\cxh-daima\LS-DYNA-ablation\figures\v44_lsprepost_real_field_extract\ep_5p0uj_recoil_5000ms\state_0318_result_displacement_nm.png
ep_5p0uj_recoil_5000ms,318,,resultant_velocity,0.000000000e+00,3.591535773e+01,mm/ms,5029,,
ep_5p0uj_recoil_5000ms,318,,pressure_from_shell_stress,-3.323502212e-01,3.055566904e-01,GPa,6882,D:\cxh-daima\LS-DYNA-ablation\field_data\v44_lsprepost_real_field_extract\ep_5p0uj_recoil_5000ms\state_0318\shell_pressure.csv,D:\cxh-daima\LS-DYNA-ablation\figures\v44_lsprepost_real_field_extract\ep_5p0uj_recoil_5000ms\state_0318_pressure_GPa.png
ep_5p0uj_recoil_5000ms,377,,resultant_displacement,0.000000000e+00,2.847349634e-06,mm,7481,D:\cxh-daima\LS-DYNA-ablation\field_data\v44_lsprepost_real_field_extract\ep_5p0uj_recoil_5000ms\state_0377\node_displacement.csv,D:\cxh-daima\LS-DYNA-ablation\figures\v44_lsprepost_real_field_extract\ep_5p0uj_recoil_5000ms\state_0377_result_displacement_nm.png
ep_5p0uj_recoil_5000ms,377,,resultant_velocity,0.000000000e+00,3.277653350e+01,mm/ms,5268,,
ep_5p0uj_recoil_5000ms,377,,pressure_from_shell_stress,-1.738706676e-01,5.842738246e-01,GPa,6881,D:\cxh-daima\LS-DYNA-ablation\field_data\v44_lsprepost_real_field_extract\ep_5p0uj_recoil_5000ms\state_0377\shell_pressure.csv,D:\cxh-daima\LS-DYNA-ablation\figures\v44_lsprepost_real_field_extract\ep_5p0uj_recoil_5000ms\state_0377_pressure_GPa.png
ep_5p0uj_recoil_5000ms,450,,resultant_displacement,0.000000000e+00,3.580799193e-06,mm,7481,D:\cxh-daima\LS-DYNA-ablation\field_data\v44_lsprepost_real_field_extract\ep_5p0uj_recoil_5000ms\state_0450\node_displacement.csv,D:\cxh-daima\LS-DYNA-ablation\figures\v44_lsprepost_real_field_extract\ep_5p0uj_recoil_5000ms\state_0450_result_displacement_nm.png
ep_5p0uj_recoil_5000ms,450,,resultant_velocity,0.000000000e+00,3.018345513e+01,mm/ms,3815,,
ep_5p0uj_recoil_5000ms,450,,pressure_from_shell_stress,-1.701846643e-01,7.553434662e-01,GPa,6881,D:\cxh-daima\LS-DYNA-ablation\field_data\v44_lsprepost_real_field_extract\ep_5p0uj_recoil_5000ms\state_0450\shell_pressure.csv,D:\cxh-daima\LS-DYNA-ablation\figures\v44_lsprepost_real_field_extract\ep_5p0uj_recoil_5000ms\state_0450_pressure_GPa.png
ep_5p0uj_recoil_5000ms,502,,resultant_displacement,0.000000000e+00,2.395971204e-06,mm,7481,D:\cxh-daima\LS-DYNA-ablation\field_data\v44_lsprepost_real_field_extract\ep_5p0uj_recoil_5000ms\state_0502\node_displacement.csv,D:\cxh-daima\LS-DYNA-ablation\figures\v44_lsprepost_real_field_extract\ep_5p0uj_recoil_5000ms\state_0502_result_displacement_nm.png
ep_5p0uj_recoil_5000ms,502,,resultant_velocity,0.000000000e+00,3.520452333e+01,mm/ms,5837,,
ep_5p0uj_recoil_5000ms,502,,pressure_from_shell_stress,-1.392150683e-01,3.044862667e-01,GPa,6641,D:\cxh-daima\LS-DYNA-ablation\field_data\v44_lsprepost_real_field_extract\ep_5p0uj_recoil_5000ms\state_0502\shell_pressure.csv,D:\cxh-daima\LS-DYNA-ablation\figures\v44_lsprepost_real_field_extract\ep_5p0uj_recoil_5000ms\state_0502_pressure_GPa.png
